"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","LicenseToEnabledRatio","SignalCount","ImpersonationRiskScore","RiskTier","IsBrandNamePattern","IsInstitutionNamePattern","IsFakeNameHint","PooledProvisioningPlausible","TriageLane"
"443205a3-351b-4e99-a952-02d5fb63bb41","PIKES PEAK STATE COLLEGE","United States","10.307","5","1500006","300001.2","3","60","HIGH","False","True","False","False","Manual-Verify-Institution-Name"
"14ad01eb-11a8-47bd-b102-f837edcb7c31","O365.ICS-BUSINESS.DE","Germany","3.468","40","41","1.02","3","60","HIGH","True","False","False","False","Investigate-Next-Wave"
"4730faab-7cb0-44c8-a49f-6497a02f0f50","DEFAULT DIRECTORY","United States","1.437","0","0","?","2","57","HIGH","False","False","True","False","Investigate-Next-Wave"
"fddb01ad-4983-436e-ab35-1af043b818c9","UNIVERSITY OF NEBRASKA-LINCOLN","United States","1022.638","0","0","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"61bfae99-0638-40ac-9c3a-465c4059f96e","TECHNOLOGICAL UNIVERSITY OF THE SHANNON: MIDWEST","Ireland","98.518","0","0","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"f1f4be86-d048-47e8-aa26-15b01dcdb13d","UNIVERSITY OF NEBRASKA AT OMAHA","United States","93.316","0","0","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"6c41ca67-80a4-4df4-ab1f-a07300931f9f","UNIVERSITY OF NEBRASKA AT KEARNEY","United States","56.352","0","0","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"eb7bde0e-8c5f-4397-bfac-6141e295a455","LAUREL BUSINESS INSTITUTE","United States","9.322","4","6010000","1502500","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"72a5bdab-3abd-480a-a88c-732b027e3dc8","SOLIHULL SIXTH FORM COLLEGE","United Kingdom","9.308","0","2000000","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"68909f48-9d88-4ba9-9f85-fbc4e28e06bb","PARK AVENUE ACADEMY","United States","8.436","9","1000011","111112.33","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"b3fafcad-9ba8-41af-962b-ed85718f4268","THE DEPARTMENT OF LEKO, ELECTRICAL ENGINEERING, NATIONAL CENTRAL UNIVERSITY","Taiwan","8.27","3","12000000","4000000","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"7c1582e2-27d3-4380-844b-e4411976e14b","NORTH WALSHAM JUNIOR SCHOOL","Hong Kong SAR","7.425","4","3000000","750000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"c0c8d759-fa92-4745-b925-e7913d29784f","MANIPAL GLOBAL ACADEMY OF DATA SCIENCE","India","7.352","1","3000000","3000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"ba4b104a-ec8c-4b89-bb6d-8bdd66f3e312","HERZING COLLEGE MONTREAL","Canada","6.64","1","3000100","3000100","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"c2b6077d-5041-4d6a-a917-867d917d5a86","VENKAT INTERNATIONAL PUBLIC SCHOOL","India","5.818","1","4000000","4000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"2bc4e36b-3d0d-4665-8927-698aa621c669","THE SCIENCE MIDDLE SCHOOL OF PENGZHOU","United States","5.293","2","3000000","1500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"3a3b44fc-5bbd-4fd6-a14f-b119df1992db","SCHOOL","Vietnam","5.086","4","1001002","250250.5","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"ee7bedff-5edb-4258-98bb-a48101dcf3ad","THE MOUNT TRUST (MOUNT ST MARY'S COLLEGE & BARLBOROUGH HALL SCHOOL)","United Kingdom","4.989","2","3004920","1502460","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"fdbb3393-257e-45ab-a1ca-d61f31f9b56d","KYRGYZ-GERMAN INSTITUTE OF APPLIED INFORMATICS","Hong Kong SAR","4.903","8","3000000","375000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"65bd1956-e516-4e1c-ac1b-fddc2dbaf2f6","NYWERI MIXED DAY SECONDARY SCHOOL","Kenya","4.654","6","4000000","666666.67","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"f3c47313-8d1b-49f6-87e3-d19abe2d1455","SAINT BENEDICT CATHOLIC VOLUNTARY ACADEMY","United Kingdom","3.843","0","1500000","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"9f77a528-9e17-43d9-a287-be6f7867ecc6","BURY CE HIGH SCHOOL","United Kingdom","3.785","1","3010000","3010000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"187b6fb6-3e89-4fbf-a263-75b9a69db577","KONGU VELLALAR MATRIC HIGHER SECONDARY SCHOOL","India","3.723","5","2950000","590000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"e0970f2d-c1f6-4be5-8010-e63777c8aac4","TENNOJI JUNIOR HIGH SCHOOL ATTACHED TO OKU","Japan","3.63","1","3000000","3000000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"4da1ae34-aef7-4fbf-bcb1-dd124e1e524f","IKEDAI JUNIOR HIGH SCHOOL","Japan","3.412","3","3001000","1000333.33","4","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"8055ca5d-af83-4059-aec5-0cb8ec50bc3f","UNIVERSITY OF LIVERPOOL","United Kingdom","3.343","7","1500000","214285.71","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"967aa74a-bf12-4f43-93e3-57e6f8659f33","YOUTH POLICY INSTITUTE","United States","3.297","2","1599999","799999.5","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"b0978362-a371-4c6e-8b31-afc8014e2e0e","WINTERBOURNE ACADEMY","United Kingdom","3.206","1","1002042","1002042","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"d25344dc-1d1e-4690-8694-d6d7505cc5c0","SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN","India","3.027","2","3000000","1500000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"6c44942c-c8fd-4a22-b8ff-36593f1867d8","BISHOP CHATARD HIGH SCHOOL","United States","2.882","1","3001700","3001700","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"9b6f18d9-7d14-481b-93c0-9dcc969d361d","LITCHAM SCHOOL","United Kingdom","2.87","2","1001800","500900","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"17818619-3b16-4ef1-b3dc-a30f8c5bceb5","DR. VIRENDRA SWARUP PUBLIC SCHOOL","India","2.731","4","3000000","750000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"3bd45e74-3a7b-4029-b620-ac2e7639cbbd","HEATHMONT COLLEGE","Australia","2.342","4","3000000","750000","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
"0412038e-375f-4350-b053-245474f1eade","ST THOMAS THE APOSTLE SCHOOL","United States","2.051","0","3500000","?","3","55","HIGH","False","True","False","False","Investigate-Next-Wave"
