"AppCategory","TenantCount","TotalEgressGB","TotalIngressGB","TotalRequests","EgressTB","IngressTB","EgressIngressRatio"
"Synology NAS","39,582","538,163.3570903521","1,013,235.5353773981","5,992,628,953","525.55","989.49","0.5"
"androiddownloadmanager","11,736","24,958.267421775497","0.00021651387214660645","57,729,392","24.37","0","24,958,267.4"
"applecoremedia","11,453","12,531.64237049967","0","4,438,577","12.24","0","12,531,642.4"
"rclone","10,515","1,746,090.888443605","2,652,178.551652923","7,762,676,524","1,705.17","2,590.02","0.7"
"RaiDrive","1,547","29,797.415204519406","12,700.104335218668","25,398,711","29.1","12.4","2.3"
"stagefright","999","27,285.85344169475","0","4,403,976","26.65","0","27,285,853.4"
"Cloudreve","291","1,094.2770179212093","7,552.322747036815","44,118,790","1.07","7.38","0.1"
"StableBit CloudDrive","22","421.2110864147544","774.5026644617319","2,922,828","0.41","0.76","0.5"
